state,year,avg_completion,state_year_key
Johor,2016,97.78,Johor_2016
Johor,2017,99.32,Johor_2017
Johor,2018,97.0,Johor_2018
Johor,2019,96.97,Johor_2019
Johor,2020,94.77,Johor_2020
Johor,2021,96.8,Johor_2021
Johor,2022,99.07,Johor_2022
Kedah,2016,98.34,Kedah_2016
Kedah,2017,98.29,Kedah_2017
Kedah,2018,97.49,Kedah_2018
Kedah,2019,97.63,Kedah_2019
Kedah,2020,97.87,Kedah_2020
Kedah,2021,99.33,Kedah_2021
Kedah,2022,99.9,Kedah_2022
Kelantan,2016,98.33,Kelantan_2016
Kelantan,2017,97.23,Kelantan_2017
Kelantan,2018,91.24,Kelantan_2018
Kelantan,2019,102.37,Kelantan_2019
Kelantan,2020,102.37,Kelantan_2020
Kelantan,2021,104.07,Kelantan_2021
Kelantan,2022,98.87,Kelantan_2022
Melaka,2016,99.07,Melaka_2016
Melaka,2017,98.42,Melaka_2017
Melaka,2018,99.03,Melaka_2018
Melaka,2019,98.13,Melaka_2019
Melaka,2020,96.8,Melaka_2020
Melaka,2021,97.13,Melaka_2021
Melaka,2022,98.7,Melaka_2022
Negeri Sembilan,2016,98.58,Negeri Sembilan_2016
Negeri Sembilan,2017,98.41,Negeri Sembilan_2017
Negeri Sembilan,2018,97.7,Negeri Sembilan_2018
Negeri Sembilan,2019,97.57,Negeri Sembilan_2019
Negeri Sembilan,2020,97.2,Negeri Sembilan_2020
Negeri Sembilan,2021,100.13,Negeri Sembilan_2021
Negeri Sembilan,2022,100.63,Negeri Sembilan_2022
Pahang,2016,97.93,Pahang_2016
Pahang,2017,95.34,Pahang_2017
Pahang,2018,97.07,Pahang_2018
Pahang,2019,95.2,Pahang_2019
Pahang,2020,96.83,Pahang_2020
Pahang,2021,98.67,Pahang_2021
Pahang,2022,98.4,Pahang_2022
Perak,2016,97.61,Perak_2016
Perak,2017,96.7,Perak_2017
Perak,2018,97.17,Perak_2018
Perak,2019,97.8,Perak_2019
Perak,2020,96.2,Perak_2020
Perak,2021,99.0,Perak_2021
Perak,2022,99.8,Perak_2022
Perlis,2016,95.49,Perlis_2016
Perlis,2017,96.74,Perlis_2017
Perlis,2018,96.95,Perlis_2018
Perlis,2019,95.57,Perlis_2019
Perlis,2020,95.5,Perlis_2020
Perlis,2021,97.37,Perlis_2021
Perlis,2022,101.03,Perlis_2022
Pulau Pinang,2016,97.17,Pulau Pinang_2016
Pulau Pinang,2017,96.51,Pulau Pinang_2017
Pulau Pinang,2018,95.66,Pulau Pinang_2018
Pulau Pinang,2019,96.9,Pulau Pinang_2019
Pulau Pinang,2020,95.6,Pulau Pinang_2020
Pulau Pinang,2021,95.53,Pulau Pinang_2021
Pulau Pinang,2022,99.03,Pulau Pinang_2022
Sabah,2016,95.81,Sabah_2016
Sabah,2017,96.81,Sabah_2017
Sabah,2018,96.39,Sabah_2018
Sabah,2019,96.67,Sabah_2019
Sabah,2020,96.73,Sabah_2020
Sabah,2021,98.1,Sabah_2021
Sabah,2022,99.93,Sabah_2022
Sarawak,2016,97.16,Sarawak_2016
Sarawak,2017,97.08,Sarawak_2017
Sarawak,2018,96.95,Sarawak_2018
Sarawak,2019,97.07,Sarawak_2019
Sarawak,2020,95.9,Sarawak_2020
Sarawak,2021,98.37,Sarawak_2021
Sarawak,2022,99.53,Sarawak_2022
Selangor,2016,98.41,Selangor_2016
Selangor,2017,97.84,Selangor_2017
Selangor,2018,98.41,Selangor_2018
Selangor,2019,96.5,Selangor_2019
Selangor,2020,95.8,Selangor_2020
Selangor,2021,100.63,Selangor_2021
Selangor,2022,98.67,Selangor_2022
Terengganu,2016,98.96,Terengganu_2016
Terengganu,2017,99.03,Terengganu_2017
Terengganu,2018,99.48,Terengganu_2018
Terengganu,2019,100.77,Terengganu_2019
Terengganu,2020,98.67,Terengganu_2020
Terengganu,2021,101.07,Terengganu_2021
Terengganu,2022,100.83,Terengganu_2022
W.P. Kuala Lumpur,2016,96.84,W.P. Kuala Lumpur_2016
W.P. Kuala Lumpur,2017,93.15,W.P. Kuala Lumpur_2017
W.P. Kuala Lumpur,2018,92.4,W.P. Kuala Lumpur_2018
W.P. Kuala Lumpur,2019,96.2,W.P. Kuala Lumpur_2019
W.P. Kuala Lumpur,2020,89.9,W.P. Kuala Lumpur_2020
W.P. Kuala Lumpur,2021,95.73,W.P. Kuala Lumpur_2021
W.P. Kuala Lumpur,2022,95.9,W.P. Kuala Lumpur_2022
W.P. Labuan,2016,91.79,W.P. Labuan_2016
W.P. Labuan,2017,95.92,W.P. Labuan_2017
W.P. Labuan,2018,91.71,W.P. Labuan_2018
W.P. Labuan,2019,94.6,W.P. Labuan_2019
W.P. Labuan,2020,97.93,W.P. Labuan_2020
W.P. Labuan,2021,95.13,W.P. Labuan_2021
W.P. Labuan,2022,98.17,W.P. Labuan_2022
W.P. Putrajaya,2016,107.76,W.P. Putrajaya_2016
W.P. Putrajaya,2017,102.72,W.P. Putrajaya_2017
W.P. Putrajaya,2018,98.03,W.P. Putrajaya_2018
W.P. Putrajaya,2019,102.13,W.P. Putrajaya_2019
W.P. Putrajaya,2020,100.2,W.P. Putrajaya_2020
W.P. Putrajaya,2021,89.33,W.P. Putrajaya_2021
W.P. Putrajaya,2022,102.6,W.P. Putrajaya_2022
