"district","teachers"
"Batu Pahat","12020"
"Johor Bahru","35008"
"Kluang","8324"
"Kota Tinggi","7734"
"Kulai","5590"
"Mersing","2722"
"Muar","8244"
"Pontian","5672"
"Segamat","6346"
"Tangkak","4458"
"Baling","4954"
"Bandar Baharu","1520"
"Kota Setar","10694"
"Kuala Muda","13732"
"Kubang Pasu","7348"
"Kulim","8372"
"Langkawi","3098"
"Padang Terap","2428"
"Pendang","3804"
"Pokok Sena","1416"
"Sik","2344"
"Yan","2530"
"Bachok","5480"
"Gua Musang","3454"
"Jeli","1824"
"Kecil Lojing","294"
"Kota Bharu","16272"
"Kuala Krai","4524"
"Machang","3540"
"Pasir Mas","7336"
"Pasir Puteh","5038"
"Tanah Merah","4904"
"Tumpat","5280"
"Alor Gajah","7322"
"Jasin","5918"
"Melaka Tengah","14630"
"Jelebu","1666"
"Jempol","4176"
"Kuala Pilah","3096"
"Port Dickson","4262"
"Rembau","2658"
"Seremban","16334"
"Tampin","3022"
"Bentong","3764"
"Bera","3030"
"Cameron Highlands","1240"
"Jerantut","3716"
"Kuala Lipis","3610"
"Kuantan","14542"
"Maran","4354"
"Pekan","4312"
"Raub","2996"
"Rompin","4532"
"Temerloh","5986"
"Bagan Datuk","2832"
"Batang Padang","4304"
"Hilir Perak","4582"
"Hulu Perak","3980"
"Kampar","2772"
"Kerian","6706"
"Kinta","19554"
"Kuala Kangsar","6826"
"Larut Matang & Selama","10188"
"Manjung (Dinding)","7640"
"Muallim","2746"
"Perak Tengah","4196"
"Perlis","9388"
"Barat Daya","4740"
"Seberang Perai Selatan","5530"
"Seberang Perai Tengah","9720"
"Seberang Perai Utara","9620"
"Timur Laut","9748"
"Beaufort","3400"
"Beluran","2082"
"Keningau","5772"
"Kinabatangan","1650"
"Kota Belud","3922"
"Kota Kinabalu","9276"
"Kota Marudu","2934"
"Kuala Penyu","1220"
"Kudat","3830"
"Kunak","1462"
"Lahad Datu","4636"
"Nabawan","1338"
"Papar","4194"
"Penampang","3404"
"Pitas","1964"
"Putatan","124"
"Ranau","3958"
"Sandakan","7122"
"Semporna","4052"
"Sipitang","1454"
"Tambunan","1634"
"Tawau","8134"
"Telupid","614"
"Tenom","2312"
"Tongod","1078"
"Tuaran","4788"
"Asajaya","1700"
"Bau","2068"
"Belaga","684"
"Betong","2858"
"Bintulu","4208"
"Dalat","1162"
"Daro","1588"
"Julau","1350"
"Kabong","264"
"Kanowit","1402"
"Kapit","2136"
"Kuching","16158"
"Lawas","1388"
"Limbang","1748"
"Lubok Antu","1090"
"Lundu","1494"
"Maradong","1516"
"Marudi","2406"
"Miri","6516"
"Mukah","1616"
"Pusa","26"
"Samarahan","2768"
"Saratok","2020"
"Sarikei","2370"
"Sebauh","404"
"Serian","3578"
"Sibu","8888"
"Simunjan","1890"
"Song","758"
"Sri Aman","2062"
"Subis","806"
"Tatau","718"
"Gombak","16778"
"Klang","19842"
"Kuala Langat","7700"
"Kuala Selangor","8214"
"Petaling","32758"
"Sabak Bernam","4666"
"Sepang","6460"
"Ulu Langat","21498"
"Ulu Selangor","6548"
"Besut","7006"
"Dungun","5930"
"Hulu Terengganu","3844"
"Kemaman","7068"
"Kuala Nerus","5018"
"Kuala Terengganu","8560"
"Marang","4032"
"Setiu","3414"
"W.P. Kuala Lumpur","33276"
"W.P. Labuan","2700"
"W.P. Putrajaya","4884"
