"district","state","lon","lat","teachers"
"Batu Pahat","Johor","System.Object[]","System.Object[]","12020"
"Johor Bahru","Johor","System.Object[]","System.Object[]","35008"
"Kluang","Johor","System.Object[]","System.Object[]","8324"
"Kota Tinggi","Johor","System.Object[]","System.Object[]","7734"
"Kulai","Johor","System.Object[]","System.Object[]","5590"
"Mersing","Johor","System.Object[]","System.Object[]","2722"
"Muar","Johor","System.Object[]","System.Object[]","8244"
"Pontian","Johor","System.Object[]","System.Object[]","5672"
"Segamat","Johor","System.Object[]","System.Object[]","6346"
"Tangkak","Johor","System.Object[]","System.Object[]","4458"
"Baling","Kedah","System.Object[]","System.Object[]","4954"
"Bandar Baharu","Kedah","System.Object[]","System.Object[]","1520"
"Kota Setar","Kedah","System.Object[]","System.Object[]","10694"
"Kuala Muda","Kedah","System.Object[]","System.Object[]","13732"
"Kubang Pasu","Kedah","System.Object[]","System.Object[]","7348"
"Kulim","Kedah","System.Object[]","System.Object[]","8372"
"Langkawi","Kedah","System.Object[]","System.Object[]","3098"
"Padang Terap","Kedah","System.Object[]","System.Object[]","2428"
"Pendang","Kedah","System.Object[]","System.Object[]","3804"
"Pokok Sena","Kedah","System.Object[]","System.Object[]","1416"
"Sik","Kedah","System.Object[]","System.Object[]","2344"
"Yan","Kedah","System.Object[]","System.Object[]","2530"
"Bachok","Kelantan","System.Object[]","System.Object[]","5480"
"Gua Musang","Kelantan","System.Object[]","System.Object[]","3454"
"Jeli","Kelantan","System.Object[]","System.Object[]","1824"
"Kecil Lojing","Kelantan","System.Object[]","System.Object[]","294"
"Kota Bharu","Kelantan","System.Object[]","System.Object[]","16272"
"Kuala Krai","Kelantan","System.Object[]","System.Object[]","4524"
"Machang","Kelantan","System.Object[]","System.Object[]","3540"
"Pasir Mas","Kelantan","System.Object[]","System.Object[]","7336"
"Pasir Puteh","Kelantan","System.Object[]","System.Object[]","5038"
"Tanah Merah","Kelantan","System.Object[]","System.Object[]","4904"
"Tumpat","Kelantan","System.Object[]","System.Object[]","5280"
"Alor Gajah","Melaka","System.Object[]","System.Object[]","7322"
"Jasin","Melaka","System.Object[]","System.Object[]","5918"
"Melaka Tengah","Melaka","System.Object[]","System.Object[]","14630"
"Jelebu","Negeri Sembilan","System.Object[]","System.Object[]","1666"
"Jempol","Negeri Sembilan","System.Object[]","System.Object[]","4176"
"Kuala Pilah","Negeri Sembilan","System.Object[]","System.Object[]","3096"
"Port Dickson","Negeri Sembilan","System.Object[]","System.Object[]","4262"
"Rembau","Negeri Sembilan","System.Object[]","System.Object[]","2658"
"Seremban","Negeri Sembilan","System.Object[]","System.Object[]","16334"
"Tampin","Negeri Sembilan","System.Object[]","System.Object[]","3022"
"Bentong","Pahang","System.Object[]","System.Object[]","3764"
"Bera","Pahang","System.Object[]","System.Object[]","3030"
"Cameron Highlands","Pahang","System.Object[]","System.Object[]","1240"
"Jerantut","Pahang","System.Object[]","System.Object[]","3716"
"Kuala Lipis","Pahang","System.Object[]","System.Object[]","3610"
"Kuantan","Pahang","System.Object[]","System.Object[]","14542"
"Maran","Pahang","System.Object[]","System.Object[]","4354"
"Pekan","Pahang","System.Object[]","System.Object[]","4312"
"Raub","Pahang","System.Object[]","System.Object[]","2996"
"Rompin","Pahang","System.Object[]","System.Object[]","4532"
"Temerloh","Pahang","System.Object[]","System.Object[]","5986"
"Bagan Datuk","Perak","System.Object[]","System.Object[]","2832"
"Batang Padang","Perak","System.Object[]","System.Object[]","4304"
"Hilir Perak","Perak","System.Object[]","System.Object[]","4582"
"Hulu Perak","Perak","System.Object[]","System.Object[]","3980"
"Kampar","Perak","System.Object[]","System.Object[]","2772"
"Kerian","Perak","System.Object[]","System.Object[]","6706"
"Kinta","Perak","System.Object[]","System.Object[]","19554"
"Kuala Kangsar","Perak","System.Object[]","System.Object[]","6826"
"Larut Matang & Selama","Perak","System.Object[]","System.Object[]","10188"
"Manjung (Dinding)","Perak","System.Object[]","System.Object[]","7640"
"Muallim","Perak","System.Object[]","System.Object[]","2746"
"Perak Tengah","Perak","System.Object[]","System.Object[]","4196"
"Perlis","Perlis","System.Object[]","System.Object[]","9388"
"Barat Daya","Pulau Pinang","System.Object[]","System.Object[]","4740"
"Seberang Perai Selatan","Pulau Pinang","System.Object[]","System.Object[]","5530"
"Seberang Perai Tengah","Pulau Pinang","System.Object[]","System.Object[]","9720"
"Seberang Perai Utara","Pulau Pinang","System.Object[]","System.Object[]","9620"
"Timur Laut","Pulau Pinang","System.Object[]","System.Object[]","9748"
"Beaufort","Sabah","System.Object[]","System.Object[]","3400"
"Beluran","Sabah","System.Object[]","System.Object[]","2082"
"Keningau","Sabah","System.Object[]","System.Object[]","5772"
"Kinabatangan","Sabah","System.Object[]","System.Object[]","1650"
"Kota Belud","Sabah","System.Object[]","System.Object[]","3922"
"Kota Kinabalu","Sabah","System.Object[]","System.Object[]","9276"
"Kota Marudu","Sabah","System.Object[]","System.Object[]","2934"
"Kuala Penyu","Sabah","System.Object[]","System.Object[]","1220"
"Kudat","Sabah","System.Object[]","System.Object[]","3830"
"Kunak","Sabah","System.Object[]","System.Object[]","1462"
"Lahad Datu","Sabah","System.Object[]","System.Object[]","4636"
"Nabawan","Sabah","System.Object[]","System.Object[]","1338"
"Papar","Sabah","System.Object[]","System.Object[]","4194"
"Penampang","Sabah","System.Object[]","System.Object[]","3404"
"Pitas","Sabah","System.Object[]","System.Object[]","1964"
"Putatan","Sabah","System.Object[]","System.Object[]","124"
"Ranau","Sabah","System.Object[]","System.Object[]","3958"
"Sandakan","Sabah","System.Object[]","System.Object[]","7122"
"Semporna","Sabah","System.Object[]","System.Object[]","4052"
"Sipitang","Sabah","System.Object[]","System.Object[]","1454"
"Tambunan","Sabah","System.Object[]","System.Object[]","1634"
"Tawau","Sabah","System.Object[]","System.Object[]","8134"
"Telupid","Sabah","System.Object[]","System.Object[]","614"
"Tenom","Sabah","System.Object[]","System.Object[]","2312"
"Tongod","Sabah","System.Object[]","System.Object[]","1078"
"Tuaran","Sabah","System.Object[]","System.Object[]","4788"
"Asajaya","Sarawak","System.Object[]","System.Object[]","1700"
"Bau","Sarawak","System.Object[]","System.Object[]","2068"
"Belaga","Sarawak","System.Object[]","System.Object[]","684"
"Betong","Sarawak","System.Object[]","System.Object[]","2858"
"Bintulu","Sarawak","System.Object[]","System.Object[]","4208"
"Dalat","Sarawak","System.Object[]","System.Object[]","1162"
"Daro","Sarawak","System.Object[]","System.Object[]","1588"
"Julau","Sarawak","System.Object[]","System.Object[]","1350"
"Kabong","Sarawak","System.Object[]","System.Object[]","264"
"Kanowit","Sarawak","System.Object[]","System.Object[]","1402"
"Kapit","Sarawak","System.Object[]","System.Object[]","2136"
"Kuching","Sarawak","System.Object[]","System.Object[]","16158"
"Lawas","Sarawak","System.Object[]","System.Object[]","1388"
"Limbang","Sarawak","System.Object[]","System.Object[]","1748"
"Lubok Antu","Sarawak","System.Object[]","System.Object[]","1090"
"Lundu","Sarawak","System.Object[]","System.Object[]","1494"
"Maradong","Sarawak","System.Object[]","System.Object[]","1516"
"Marudi","Sarawak","System.Object[]","System.Object[]","2406"
"Miri","Sarawak","System.Object[]","System.Object[]","6516"
"Mukah","Sarawak","System.Object[]","System.Object[]","1616"
"Pusa","Sarawak","System.Object[]","System.Object[]","26"
"Samarahan","Sarawak","System.Object[]","System.Object[]","2768"
"Saratok","Sarawak","System.Object[]","System.Object[]","2020"
"Sarikei","Sarawak","System.Object[]","System.Object[]","2370"
"Sebauh","Sarawak","System.Object[]","System.Object[]","404"
"Serian","Sarawak","System.Object[]","System.Object[]","3578"
"Sibu","Sarawak","System.Object[]","System.Object[]","8888"
"Simunjan","Sarawak","System.Object[]","System.Object[]","1890"
"Song","Sarawak","System.Object[]","System.Object[]","758"
"Sri Aman","Sarawak","System.Object[]","System.Object[]","2062"
"Subis","Sarawak","System.Object[]","System.Object[]","806"
"Tatau","Sarawak","System.Object[]","System.Object[]","718"
"Gombak","Selangor","System.Object[]","System.Object[]","16778"
"Klang","Selangor","System.Object[]","System.Object[]","19842"
"Kuala Langat","Selangor","System.Object[]","System.Object[]","7700"
"Kuala Selangor","Selangor","System.Object[]","System.Object[]","8214"
"Petaling","Selangor","System.Object[]","System.Object[]","32758"
"Sabak Bernam","Selangor","System.Object[]","System.Object[]","4666"
"Sepang","Selangor","System.Object[]","System.Object[]","6460"
"Ulu Langat","Selangor","System.Object[]","System.Object[]","21498"
"Ulu Selangor","Selangor","System.Object[]","System.Object[]","6548"
"Besut","Terengganu","System.Object[]","System.Object[]","7006"
"Dungun","Terengganu","System.Object[]","System.Object[]","5930"
"Hulu Terengganu","Terengganu","System.Object[]","System.Object[]","3844"
"Kemaman","Terengganu","System.Object[]","System.Object[]","7068"
"Kuala Nerus","Terengganu","System.Object[]","System.Object[]","5018"
"Kuala Terengganu","Terengganu","System.Object[]","System.Object[]","8560"
"Marang","Terengganu","System.Object[]","System.Object[]","4032"
"Setiu","Terengganu","System.Object[]","System.Object[]","3414"
"W.P. Kuala Lumpur","W.P. Kuala Lumpur","System.Object[]","System.Object[]","33276"
"W.P. Labuan","W.P. Labuan","System.Object[]","System.Object[]","2700"
"W.P. Putrajaya","W.P. Putrajaya","System.Object[]","System.Object[]","4884"
